course_title,course_field,diff_level
Intro to Data Analysis,School of Data Science,Beginner
SQL for Data Analysis,School of Data Science,Beginner
Database Systems Concepts & Design,School of Autonomous Systems,Intermediate
Intro to Inferential Statistics,School of Data Science,Beginner
Spark,School of Data Science,Intermediate
Data Analysis and Visualization,School of Data Science,Intermediate
Microsoft Power Platform,School of Programming & Development,Beginner
Web Tooling & Automation,School of Programming & Development,Intermediate
Front End Frameworks,School of Programming & Development,Advanced
Responsive Web Design Fundamentals,School of Programming & Development,Intermediate
Linux Command Line Basics,School of Programming & Development,Beginner
How to Install Android Studio,School of Programming & Development,Beginner
Android Basics: Multiscreen Apps,School of Programming & Development,Beginner
Website Performance Optimization,School of Programming & Development,Intermediate
iOS Networking with Swift,School of Programming & Development,Advanced
JavaScript Design Patterns,School of Programming & Development,Advanced
Android Basics: User Input,School of Programming & Development,Beginner
Android Performance,School of Programming & Development,Advanced
Responsive Images,School of Programming & Development,Intermediate
Xcode Debugging,School of Programming & Development,Advanced
Gradle for Android and Java,School of Programming & Development,Advanced
Build Native Mobile Apps with Flutter,School of Programming & Development,Intermediate
JavaScript Promises,School of Programming & Development,Advanced
UIKit Fundamentals,School of Programming & Development,Intermediate
Android Basics: User Interface,School of Programming & Development,Beginner
Client-Server Communication,School of Programming & Development,Advanced
What is Programming?,School of Programming & Development,Beginner
Building High Conversion Web Forms,School of Programming & Development,Intermediate
AdvancedAndroid App Development,School of Programming & Development,Advanced
Software Architecture & Design,School of Programming & Development,Intermediate
Authentication & Authorization: OAuth,School of Programming & Development,Intermediate
Intro to iOS App Development with Swift,School of Programming & Development,Intermediate
Introduction to Operating Systems,School of Programming & Development,Intermediate
Android Basics: Networking,School of Programming & Development,Beginner
Web Accessibility,School of Programming & Development,Advanced
Android Basics: Data Storage,School of Programming & Development,Beginner
Scalable Microservices with Kubernetes,School of Programming & Development,Intermediate
Developing Android Apps with Kotlin,School of Programming & Development,Intermediate
Browser Rendering Optimization,School of Programming & Development,Advanced
Learn Swift Programming Syntax,School of Programming & Development,Intermediate
Offline Web Applications,School of Programming & Development,Intermediate
Kotlin for Android Developers,School of Programming & Development,Advanced
UX Design for Mobile Developers,School of Programming & Development,Beginner
Software Development Process,School of Programming & Development,Intermediate
Data Visualization in Tableau,School of Programming & Development,Beginner
Intro to Progressive Web Apps,School of Programming & Development,Intermediate
Writing READMEs,School of Programming & Development,Beginner
Software Analysis & Testing,School of Programming & Development,Intermediate
iOS Persistence and Core Data,School of Programming & Development,Advanced
Computer Networking,School of Programming & Development,Intermediate
Firebase Analytics: iOS,School of Programming & Development,Intermediate
Human-Computer Interaction,School of Programming & Development,Intermediate
2D Game Development with libGDX,School of Programming & Development,Intermediate
Intro to jQuery,School of Programming & Development,Intermediate
How to create <anything> in Android,School of Programming & Development,Beginner
Introduction to Graduate Algorithms,School of Programming & Development,Advanced
Dynamic Web Applications with Sinatra,School of Programming & Development,Intermediate
How to Make a Platformer Using libGDX,School of Programming & Development,Intermediate
JavaScript Testing,School of Programming & Development,Intermediate
Object-Oriented JavaScript,School of Programming & Development,Intermediate
Localization Essentials,School of Programming & Development,Beginner
Compilers: Theory and Practice,School of Programming & Development,Intermediate
HTML5 Canvas,School of Programming & Development,Beginner
Object Oriented Programming in Java,School of Programming & Development,Intermediate
Designing RESTful APIs,School of Programming & Development,Intermediate
GT - Refresher - AdvancedOS,School of Programming & Development,Intermediate
Intro to JavaScript,School of Programming & Development,Beginner
Grand Central Dispatch (GCD),School of Programming & Development,Intermediate
Continuous Integration and Deployment,School of Programming & Development,Intermediate
Swift for Beginners,School of Programming & Development,Beginner
Intro to Statistics,School of Programming & Development,Beginner
Intro to HTML and CSS,School of Programming & Development,Beginner
Developing Android Apps,School of Programming & Development,Intermediate
Introduction to Python Programming,School of Programming & Development,Beginner
Introduction to Virtual Reality,School of Programming & Development,Beginner
